OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0019E,DP05_0020E,DP05_0021E,DP05_0022E,DP05_0023E,DP05_0024E,DP05_0025E,DP05_0026E,DP05_0027E,DP05_0028E,DP05_0029E,DP05_0030E,DP05_0031E,DP05_0032E,DP05_0033E,DP05_0034E,DP05_0035E,DP05_0036E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0040E,DP05_0041E,DP05_0042E,DP05_0043E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0047E,DP05_0048E,DP05_0049E,DP05_0050E,DP05_0051E,DP05_0052E,DP05_0053E,DP05_0054E,DP05_0055E,DP05_0056E,DP05_0057E,DP05_0058E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0066E,DP05_0067E,DP05_0068E,DP05_0069E,DP05_0070E,DP05_0071E,DP05_0072E,DP05_0073E,DP05_0074E,DP05_0075E,DP05_0076E,DP05_0077E,DP05_0078E,DP05_0079E,DP05_0080E,DP05_0081E,DP05_0082E,DP05_0083E,DP05_0084E,DP05_0085E,DP05_0086E,DP05_0087E,DP05_0088E,DP05_0089E,DP05_0090E,DP05_0091E,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
158,92.01,629781,0,11001009201,"Census Tract 92.01; District of Columbia; District of Columbia",3053,1500,1553,96.6,259,128,192,137,537,553,503,212,192,144,116,55,25,30,621,2472,2432,2211,281,196,2432,1161,1271,91.3,196,104,92,113,3053,2812,241,2812,1684,830,4,0,0,0,0,167,118,19,16,0,1,8,5,0,0,0,0,0,127,241,144,0,28,52,4,0,3053,1912,991,8,208,0,179,3053,442,115,22,26,279,2611,1512,737,0,165,0,6,191,5,186,1438,2266,1077,1189,ACS_Demographic_DC_CensusTract_162,,{B577ECE5-756B-4391-B1FE-90EF3BCF1F4F},009201,0,0
159,92.03,581087,0,11001009203,"Census Tract 92.03; District of Columbia; District of Columbia",3337,1304,2033,64.1,212,94,59,56,599,709,540,343,177,180,189,162,17,33.9,365,2972,2972,2821,468,368,2972,1227,1745,70.3,368,187,181,103.3,3337,3059,278,3059,761,2199,15,0,0,0,0,41,2,6,25,0,0,3,5,0,0,0,0,0,43,278,237,13,13,0,0,0,3337,1039,2451,43,54,0,43,3337,296,65,77,0,154,3041,665,2173,0,41,0,0,162,0,162,1566,2843,1148,1695,ACS_Demographic_DC_CensusTract_163,,{7FCE9293-8945-4B40-992D-8E15A80F1DD7},009203,0,0
160,93.01,1109091,0,11001009301,"Census Tract 93.01; District of Columbia; District of Columbia",3505,1803,1702,105.9,255,192,70,200,152,493,594,507,340,199,338,143,22,42.1,614,2939,2891,2782,613,503,2891,1476,1415,104.3,503,190,313,60.7,3505,3154,351,3154,1532,1468,0,0,0,0,0,154,40,36,0,0,25,53,0,0,0,0,0,0,0,351,164,0,90,91,0,0,3505,1883,1632,6,244,0,97,3505,224,48,0,19,157,3281,1405,1468,0,154,0,0,254,0,254,1553,2835,1476,1359,ACS_Demographic_DC_CensusTract_164,,{2A7C82D6-40F3-43B8-8826-965FA8AF2B47},009301,0,0
161,93.02,391905,0,11001009302,"Census Tract 93.02; District of Columbia; District of Columbia",1762,983,779,126.2,117,70,118,18,52,423,455,287,53,79,50,14,26,36.8,305,1457,1457,1439,148,90,1457,788,669,117.8,90,41,49,83.7,1762,1563,199,1563,542,812,33,0,0,0,0,21,11,5,0,0,0,2,3,3,3,0,0,0,152,199,7,28,0,132,17,7,1762,717,851,78,29,3,291,1762,346,105,7,15,219,1416,514,812,9,21,0,0,60,0,60,1005,1417,756,661,ACS_Demographic_DC_CensusTract_165,,{18890743-95F0-42B1-97A4-2D17E440AA4D},009302,0,0
162,12,1219204,0,11001001200,"Census Tract 12; District of Columbia; District of Columbia",4919,2417,2502,96.6,220,230,204,123,337,761,713,740,305,197,589,400,100,42.6,748,4249,4171,4079,1210,1089,4171,1980,2191,90.4,1089,415,674,61.6,4919,4595,324,4595,3807,397,18,0,0,0,0,336,148,11,101,68,0,0,8,0,0,0,0,0,37,324,0,17,187,120,0,0,4919,4131,397,35,523,0,157,4919,450,0,61,0,389,4469,3566,349,0,336,0,0,218,14,204,2642,3678,1864,1814,ACS_Demographic_DC_CensusTract_167,,{6AB80501-9DAF-4733-9097-F63C14A713C5},001200,0,0
163,14.01,788095,0,11001001401,"Census Tract 14.01; District of Columbia; District of Columbia",3326,1692,1634,103.5,336,232,183,121,43,328,716,505,157,122,377,177,29,39.6,872,2483,2454,2450,618,583,2454,1228,1226,100.2,583,273,310,88.1,3326,3016,310,3016,2155,188,0,0,0,0,0,492,66,172,74,0,13,0,167,0,0,0,0,0,181,310,26,0,41,189,0,0,3326,2465,214,54,587,0,424,3326,562,24,33,16,489,2764,2023,170,0,492,0,12,67,0,67,1393,2163,1127,1036,ACS_Demographic_DC_CensusTract_168,,{1AE8F2DF-A1D9-429A-9B98-6400BBDCFC09},001401,0,0
164,109,2381015,2933566,11001010900,"Census Tract 109; District of Columbia; District of Columbia",3338,1980,1358,145.8,445,179,142,252,338,981,249,253,117,155,184,43,0,27.8,954,2529,2384,2269,325,227,2384,1215,1169,103.9,227,75,152,49.3,3338,2732,606,2732,127,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,147,199,0,0,90,0,3338,619,3012,435,24,24,0,3338,16,16,0,0,0,3322,127,2596,0,0,0,0,599,0,599,1373,2221,1143,1078,ACS_Demographic_DC_CensusTract_169,,{4ADE2F29-12E8-4F6E-A625-43173FF285E6},010900,0,0
165,104,2602393,7006,11001010400,"Census Tract 104; District of Columbia; District of Columbia",4725,2184,2541,86,285,206,226,257,237,622,1152,256,482,454,384,115,49,40.6,807,3979,3918,3734,835,548,3918,1833,2085,87.9,548,233,315,74,4725,4615,110,4615,358,4257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,23,0,13,28,6,0,4725,442,4326,26,33,0,28,4725,69,0,0,0,69,4656,345,4229,0,0,0,0,82,0,82,2502,3909,1833,2076,ACS_Demographic_DC_CensusTract_170,,{AECBEED7-AA2D-4CF9-9A76-1CF709123FED},010400,0,0
166,99.03,383679,0,11001009903,"Census Tract 99.03; District of Columbia; District of Columbia",2355,1123,1232,91.2,242,195,61,234,152,509,260,286,124,83,126,52,31,28.8,604,1838,1751,1537,247,209,1751,883,868,101.7,209,110,99,111.1,2355,2323,32,2323,163,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,32,0,0,0,32,0,0,2355,195,2105,0,0,0,87,2355,72,0,0,0,72,2283,157,2094,0,0,0,0,32,32,0,786,1635,820,815,ACS_Demographic_DC_CensusTract_171,,{71FFE16F-E6FF-4F1D-8300-C78A6F33C91C},009903,0,0
167,99.04,426198,0,11001009904,"Census Tract 99.04; District of Columbia; District of Columbia",3179,1515,1664,91,272,376,277,128,233,482,481,483,138,149,131,23,6,31.1,1023,2216,2156,2107,178,160,2156,1011,1145,88.3,160,101,59,171.2,3179,3019,160,3019,53,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,102,160,67,0,0,0,2,0,3179,211,3007,93,0,17,102,3179,292,19,0,143,130,2887,53,2674,0,0,0,0,160,0,160,1465,2110,965,1145,ACS_Demographic_DC_CensusTract_172,,{3A77D563-4344-4F10-9002-43B830016A0E},009904,0,0
