OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP02_0001E,DP02_0002E,DP02_0003E,DP02_0004E,DP02_0005E,DP02_0006E,DP02_0007E,DP02_0008E,DP02_0009E,DP02_0010E,DP02_0011E,DP02_0012E,DP02_0013E,DP02_0014E,DP02_0015E,DP02_0016E,DP02_0017E,DP02_0018E,DP02_0019E,DP02_0020E,DP02_0021E,DP02_0022E,DP02_0023E,DP02_0024E,DP02_0025E,DP02_0026E,DP02_0027E,DP02_0028E,DP02_0029E,DP02_0030E,DP02_0031E,DP02_0032E,DP02_0033E,DP02_0034E,DP02_0035E,DP02_0036E,DP02_0037E,DP02_0038E,DP02_0039E,DP02_0040E,DP02_0041E,DP02_0042E,DP02_0043E,DP02_0044E,DP02_0045E,DP02_0046E,DP02_0047E,DP02_0048E,DP02_0049E,DP02_0050E,DP02_0051E,DP02_0052E,DP02_0053E,DP02_0054E,DP02_0055E,DP02_0056E,DP02_0057E,DP02_0058E,DP02_0059E,DP02_0060E,DP02_0061E,DP02_0062E,DP02_0063E,DP02_0064E,DP02_0065E,DP02_0066E,DP02_0067E,DP02_0068E,DP02_0069E,DP02_0070E,DP02_0071E,DP02_0072E,DP02_0073E,DP02_0074E,DP02_0075E,DP02_0076E,DP02_0077E,DP02_0078E,DP02_0079E,DP02_0080E,DP02_0081E,DP02_0082E,DP02_0083E,DP02_0084E,DP02_0085E,DP02_0086E,DP02_0087E,DP02_0088E,DP02_0089E,DP02_0090E,DP02_0091E,DP02_0092E,DP02_0093E,DP02_0094E,DP02_0095E,DP02_0096E,DP02_0097E,DP02_0098E,DP02_0099E,DP02_0100E,DP02_0101E,DP02_0102E,DP02_0103E,DP02_0104E,DP02_0105E,DP02_0106E,DP02_0107E,DP02_0108E,DP02_0109E,DP02_0110E,DP02_0111E,DP02_0112E,DP02_0113E,DP02_0114E,DP02_0115E,DP02_0116E,DP02_0117E,DP02_0118E,DP02_0119E,DP02_0120E,DP02_0121E,DP02_0122E,DP02_0123E,DP02_0124E,DP02_0125E,DP02_0126E,DP02_0127E,DP02_0128E,DP02_0129E,DP02_0130E,DP02_0131E,DP02_0132E,DP02_0133E,DP02_0134E,DP02_0135E,DP02_0136E,DP02_0137E,DP02_0138E,DP02_0139E,DP02_0140E,DP02_0141E,DP02_0142E,DP02_0143E,DP02_0144E,DP02_0145E,DP02_0146E,DP02_0147E,DP02_0148E,DP02_0149E,DP02_0150E,DP02_0151E,DP02_0152E,DP02_0153E,DP02_0154E,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
86,6,1441865,71,11001000600,"Census Tract 6; District of Columbia; District of Columbia",2206,935,471,23,0,435,37,364,139,813,53,654,149,615,574,2,2.8,4408,2206,936,24,1011,66,165,1675,485,1049,10,8,123,2180,826,1017,8,220,109,19,0,0,15,0,39,0,29,29,0,0,0,29,29,29,0,912,83,114,375,203,137,3550,68,102,160,234,0,958,2028,3380,2986,3614,210,4408,364,934,0,2697,140,777,224,4456,3936,520,502,312,190,0,190,18,4548,4079,3930,1055,2875,149,469,469,268,201,618,149,80,69,469,62,407,469,80,45,76,9,250,9,4368,3728,640,46,388,46,201,0,18,0,33,0,4548,193,41,22,10,58,731,114,0,522,19,23,507,181,41,57,163,0,87,144,177,0,117,44,0,45,29,66,2206,2132,2074,ACS_Social_DC_CensusTract_89,,{162516DB-0957-4ED8-BF87-775CDD1E26A7},000600,0,0
87,7.02,308967,0,11001000702,"Census Tract 7.02; District of Columbia; District of Columbia",2168,226,65,294,0,594,0,499,169,1054,38,951,72,103,320,1.35,2.25,2921,2168,212,251,169,27,94,1277,951,226,24,24,52,1583,1221,212,11,31,108,10,0,0,7,0,0,21,0,0,0,0,0,0,0,0,0,845,0,0,47,76,722,2610,0,0,65,292,15,785,1453,2610,2238,2784,13,2921,164,137,0,2467,136,317,28,2907,2147,760,640,234,406,0,406,120,2921,2180,2103,132,1971,77,741,741,280,461,818,77,0,77,741,409,332,741,106,214,237,0,184,0,2907,2081,826,206,276,144,323,25,94,37,133,0,2921,0,65,0,0,36,388,87,0,591,82,0,442,225,0,22,76,0,184,54,71,35,314,0,37,0,57,78,2168,2155,1915,ACS_Social_DC_CensusTract_90,,{4C72B977-8499-45A0-A414-AFE67B005433},000702,0,0
88,74.04,826388,0,11001007404,"Census Tract 74.04; District of Columbia; District of Columbia",1366,284,166,18,0,257,0,136,12,807,418,225,86,638,176,2.9,3.54,3958,1366,279,16,1873,369,55,1167,736,256,72,19,84,1561,760,402,73,89,237,104,71,90,90,0,95,96,82,46,14,32,0,0,46,46,0,1361,89,92,682,405,93,2202,33,227,782,686,22,213,239,1942,452,2470,97,3958,471,1488,125,2307,247,163,99,3841,3786,55,55,22,33,0,33,0,3958,3877,3839,2941,898,38,81,81,72,9,119,38,0,38,81,30,51,81,0,0,63,0,18,0,3624,3530,94,9,30,9,24,0,0,0,40,0,3958,21,0,0,0,0,0,192,0,27,0,0,24,53,0,0,0,0,0,0,0,0,84,0,0,0,0,36,1366,1283,988,ACS_Social_DC_CensusTract_91,,{189AF6E4-97F8-4BCF-8377-0EEB9ED5A346},007404,0,0
89,73.01,4684643,5139082,11001007301,"Census Tract 73.01; District of Columbia; District of Columbia",1362,1098,753,12,0,149,49,97,9,103,27,76,28,829,37,2.98,3.27,4061,1362,997,13,1657,10,22,1758,573,1156,3,0,26,1217,129,1005,15,0,68,104,0,0,97,0,180,33,0,0,0,0,0,0,0,0,0,1619,156,93,687,150,533,2392,0,0,133,681,227,566,785,2392,1351,1537,527,3073,231,1651,144,1366,59,56,28,4349,2669,1680,1590,448,1142,0,1142,90,4482,4249,3967,133,3834,282,233,233,162,71,515,282,152,130,233,115,118,233,33,137,6,0,57,0,3795,3368,427,109,179,33,68,0,174,76,6,0,4482,90,0,9,0,49,260,48,12,687,0,13,505,359,0,37,146,0,27,12,45,19,219,20,10,26,2,0,1362,1362,1362,ACS_Social_DC_CensusTract_92,,{0810F7E6-DFD1-441A-8E65-102F67026425},007301,0,0
90,27.02,479022,7175,11001002702,"Census Tract 27.02; District of Columbia; District of Columbia",2294,808,316,241,9,546,18,406,41,699,92,405,126,521,451,2.41,3,5534,2294,791,269,1036,302,842,2349,1175,997,23,63,91,2255,1193,704,2,116,240,94,0,0,57,0,73,31,49,0,0,0,0,0,0,0,0,1089,142,107,445,81,314,4253,205,219,362,310,103,1134,1920,3829,3054,4528,114,5568,421,1040,0,3993,313,535,108,5475,4566,909,877,645,232,0,232,32,5568,4439,4311,1586,2725,128,1129,1129,684,445,1257,128,39,89,1129,161,968,1129,182,221,6,0,685,35,5156,3427,1729,524,1278,390,274,58,177,76,0,0,5568,108,23,30,86,75,506,116,118,651,0,0,588,186,36,52,251,7,145,56,131,17,66,241,0,20,20,130,2294,2292,2205,ACS_Social_DC_CensusTract_93,,{25262CA4-03D2-4A17-8CEC-F0D2C2CE3F19},002702,0,0
91,83.01,303973,0,11001008301,"Census Tract 83.01; District of Columbia; District of Columbia",1542,492,142,137,18,507,0,413,23,406,0,277,24,169,217,1.82,2.58,2813,1542,478,138,376,19,260,1379,800,529,0,9,41,1163,572,469,0,51,71,29,0,0,34,0,37,32,18,18,0,0,0,18,18,9,18,495,13,82,139,13,248,2268,18,11,18,161,18,725,1317,2239,2042,2542,81,2895,120,353,7,2270,104,272,9,2864,2131,733,703,465,238,0,238,30,2895,2556,2501,588,1913,55,339,339,204,135,394,55,0,55,339,90,249,339,100,131,30,4,65,9,2763,2482,281,0,108,0,138,0,18,0,17,0,2895,37,49,7,6,28,403,129,8,441,31,24,307,229,10,44,121,0,54,76,53,0,49,63,12,15,41,2,1542,1542,1530,ACS_Social_DC_CensusTract_94,,{53E09A06-BAB1-40C8-95B6-ED187DDD9001},008301,0,0
92,16,2667590,7820,11001001600,"Census Tract 16; District of Columbia; District of Columbia",1645,856,388,40,6,207,0,126,76,542,69,306,257,513,913,2.68,3.21,4413,1645,798,45,1412,345,168,1642,583,867,37,38,117,1847,472,867,27,283,198,67,2,5,90,27,97,97,72,13,13,0,0,0,13,0,0,1169,105,86,571,218,189,3121,68,72,159,221,90,714,1797,2981,2511,3370,219,4471,468,1103,40,2276,111,1092,317,4376,4140,236,236,78,158,0,158,0,4477,4057,4023,1598,2425,34,420,420,305,115,454,34,0,34,420,136,284,420,102,29,113,0,176,0,4243,3661,582,111,456,65,40,10,2,2,84,34,4477,142,0,0,0,20,287,16,0,155,17,9,142,85,6,9,77,0,69,6,13,21,214,23,12,30,14,264,1645,1603,1535,ACS_Social_DC_CensusTract_95,,{3B3BE886-0119-4437-B3EC-A33FF960BCD1},001600,0,0
93,105,749891,0,11001010500,"Census Tract 105; District of Columbia; District of Columbia",2414,481,92,324,0,651,0,606,68,958,57,807,96,149,278,1.64,2.81,3950,2414,504,316,576,32,108,1820,1194,538,0,19,69,1845,1081,510,81,44,129,42,25,26,31,0,36,26,0,0,0,0,0,0,0,0,0,317,4,25,15,44,229,3228,141,91,282,278,172,814,1450,2996,2264,3602,120,3953,426,351,0,3289,325,313,101,3923,2740,1183,1135,695,440,0,440,48,3953,3557,3473,951,2522,84,396,396,229,167,480,84,18,66,396,80,316,396,62,168,92,0,74,0,3801,3364,437,34,216,34,133,0,31,0,57,0,3953,86,0,0,0,173,457,35,0,710,0,151,305,223,36,41,98,0,54,45,48,19,291,42,0,49,0,82,2414,2374,2207,ACS_Social_DC_CensusTract_96,,{B666AE95-1105-46FA-ADDA-3F22622EF83E},010500,0,0
94,92.04,308465,0,11001009204,"Census Tract 92.04; District of Columbia; District of Columbia",1565,421,217,95,21,425,0,359,198,624,284,237,99,579,482,2.16,2.91,3373,1565,329,117,1047,255,60,1176,480,489,11,0,196,1118,603,315,29,78,93,72,63,105,89,0,147,0,29,29,0,0,29,0,29,29,29,941,118,83,582,93,65,2079,180,229,448,399,212,391,220,1670,611,2239,79,3373,666,1134,154,1649,289,590,223,3232,2814,418,397,268,129,0,129,21,3373,2577,2355,1580,775,222,796,796,313,483,1018,222,131,91,796,499,297,796,1,10,440,0,337,8,3014,2017,997,563,519,414,46,0,10,0,422,149,3373,32,17,0,0,1,68,0,0,120,0,0,95,64,0,0,45,0,1,0,0,0,725,17,0,0,38,42,1565,1452,1023,ACS_Social_DC_CensusTract_97,,{64AB2D8B-5DA3-4B2A-A779-AE8DDA625C58},009204,0,0
95,73.04,1232841,8983,11001007304,"Census Tract 73.04; District of Columbia; District of Columbia",2027,266,46,102,73,597,36,528,85,1062,332,365,109,570,395,2.28,3.17,4625,2027,294,105,1748,421,30,1639,1133,365,82,7,52,1956,1362,233,81,147,133,73,73,74,60,0,125,0,100,75,0,0,0,75,75,75,0,1488,220,55,824,311,78,3111,97,431,1588,460,10,286,239,2583,525,3390,102,4736,822,1537,151,2843,558,356,113,4833,4382,451,416,389,27,0,27,35,4927,4877,4877,3438,1439,0,50,50,15,35,50,0,0,0,50,35,15,50,15,35,0,0,0,0,4580,4489,91,35,0,0,56,0,35,35,0,0,4927,191,0,0,0,0,0,0,0,14,0,0,23,15,0,0,0,0,0,0,0,0,32,0,0,0,0,55,2027,1901,1573,ACS_Social_DC_CensusTract_98,,{237440E8-5686-4095-B938-F8A362012FB6},007304,0,0
96,30,210636,0,11001003000,"Census Tract 30; District of Columbia; District of Columbia",1656,350,137,177,27,437,0,319,37,692,144,240,23,398,201,2.31,2.99,3833,1656,353,177,981,260,406,1703,1011,536,27,0,129,1602,1083,327,26,48,118,71,30,30,56,0,46,76,129,69,0,19,42,8,69,69,42,878,103,24,257,143,351,2778,209,109,500,350,71,623,916,2460,1539,3168,23,3857,387,689,32,2932,259,236,96,3837,2961,876,695,519,176,0,176,181,3878,3040,2994,1462,1532,46,838,838,373,465,884,46,10,36,838,258,580,838,88,84,30,7,621,8,3624,2637,987,600,767,534,94,4,69,44,57,18,3878,75,18,0,5,17,140,92,63,408,12,0,365,78,9,33,121,31,30,24,45,9,146,0,9,5,8,71,1656,1522,1246,ACS_Social_DC_CensusTract_99,,{40A49500-F1E8-4815-A3FC-F48793BD5046},003000,0,0
97,75.03,515179,0,11001007503,"Census Tract 75.03; District of Columbia; District of Columbia",923,158,74,35,20,306,3,275,11,424,137,185,32,284,162,2.58,4.24,2385,923,119,37,1012,198,96,949,644,179,31,4,91,983,710,141,20,65,47,72,72,119,106,0,256,0,68,36,10,12,0,14,36,29,18,926,154,18,259,388,107,1426,31,169,507,364,56,171,128,1226,299,1603,41,2518,320,915,3,1435,270,168,47,2448,2153,295,286,221,65,0,65,9,2518,2425,2327,1759,568,98,93,93,80,13,191,98,19,79,93,0,93,93,9,0,14,0,70,0,2238,2089,149,31,113,31,0,0,0,0,36,0,2518,58,9,0,0,0,26,0,0,23,0,0,18,0,0,0,0,0,0,0,5,0,13,0,0,0,0,64,923,872,688,ACS_Social_DC_CensusTract_101,,{1E4FFD1E-087D-44B8-ACDE-6ED89370EF36},007503,0,0
98,9.02,1867106,307257,11001000902,"Census Tract 9.02; District of Columbia; District of Columbia",864,480,293,42,40,123,24,64,7,219,55,92,56,412,311,2.67,2.99,2305,864,491,40,834,9,67,866,256,523,6,20,61,934,313,468,21,76,56,23,0,0,43,0,66,52,0,0,0,0,0,0,0,0,0,706,72,26,297,211,100,1516,35,9,61,49,24,351,987,1472,1338,1665,138,2310,145,645,11,1217,45,448,89,2287,2148,139,134,116,18,0,18,5,2310,2076,2016,830,1186,60,234,234,185,49,294,60,5,55,234,15,219,234,65,27,1,9,118,14,2167,1808,359,115,217,105,95,10,41,0,6,0,2310,33,1,15,15,11,252,57,11,342,14,38,280,110,0,7,61,5,58,48,30,12,0,28,0,44,9,5,864,828,831,ACS_Social_DC_CensusTract_102,,{E885920D-A30D-439F-A2D7-C71540489070},000902,0,0
99,15,4684714,39895,11001001500,"Census Tract 15; District of Columbia; District of Columbia",2005,1549,822,57,14,144,0,108,84,255,27,216,168,866,856,2.8,3.15,5616,2005,1654,61,1835,31,30,2053,276,1623,15,26,113,2285,317,1680,25,112,151,98,0,0,102,0,99,118,3,3,0,0,0,3,3,0,3,1550,222,81,805,330,112,3994,245,69,151,137,17,881,2494,3680,3375,4212,149,5620,264,1592,93,2783,59,1245,112,5640,4843,797,787,741,46,0,46,10,5804,5135,4925,1804,3121,210,669,669,448,221,879,210,0,210,669,206,463,669,251,91,1,0,326,0,5318,4324,994,392,767,391,167,1,28,0,32,0,5804,91,0,0,0,92,644,42,0,929,20,37,903,202,17,15,258,76,61,0,210,0,1,45,44,27,94,0,2005,1972,1842,ACS_Social_DC_CensusTract_103,,{26FA87C1-3196-4F32-807E-C5AE609E68C1},001500,0,0
100,96.03,607400,0,11001009603,"Census Tract 96.03; District of Columbia; District of Columbia",1992,339,34,0,0,773,24,536,153,880,272,445,205,377,599,2,3.02,3987,1992,304,0,1277,379,35,1684,1150,345,12,13,164,1754,916,397,48,112,281,16,16,22,17,0,35,0,47,11,0,0,0,11,11,11,0,1110,38,93,379,212,388,2791,11,326,901,555,248,421,329,2454,750,3255,137,4025,801,770,27,2535,501,720,273,4006,3425,581,581,393,188,0,188,0,4025,3672,3672,2405,1267,0,353,353,210,143,353,0,0,0,353,178,175,353,0,16,248,0,89,0,3951,3684,267,51,59,19,70,0,0,0,138,32,4025,206,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,332,0,0,0,0,170,1992,1839,1404,ACS_Social_DC_CensusTract_104,,{01721C80-8B01-4645-BF91-7B1CE3BC91F5},009603,0,0
101,5.01,940249,29503,11001000501,"Census Tract 5.01; District of Columbia; District of Columbia",2183,514,144,260,0,516,0,467,133,893,22,785,240,166,484,1.62,2.8,3547,2183,524,205,339,123,173,1496,497,567,0,0,432,1796,958,576,2,109,151,37,0,0,30,0,56,0,111,0,0,0,0,0,0,0,0,634,0,0,191,55,388,3025,2,41,47,84,55,1011,1785,2982,2796,3233,45,3572,236,339,0,2660,82,573,154,3554,2657,897,762,337,425,0,425,135,3594,2912,2831,455,2376,81,682,682,366,316,763,81,11,70,682,284,398,682,164,289,29,0,165,35,3501,2705,796,149,340,30,240,14,191,105,25,0,3594,126,83,12,0,49,278,144,55,400,0,1,355,107,51,51,104,0,162,100,67,0,41,0,36,38,47,120,2183,2178,2126,ACS_Social_DC_CensusTract_105,,{2193E7A6-E45A-41A0-9249-3A0700D9EE69},000501,0,0
102,33.02,204237,0,11001003302,"Census Tract 33.02; District of Columbia; District of Columbia",968,375,101,81,0,280,0,168,0,232,47,119,19,178,104,2.41,2.95,2336,968,420,85,402,74,387,1102,629,442,8,0,23,911,481,357,7,16,50,8,0,0,11,0,19,0,47,0,0,0,0,0,0,0,0,520,145,56,51,34,234,1856,104,12,76,56,14,768,826,1740,1594,1971,77,2365,127,394,14,1816,67,155,46,2341,2071,270,264,133,131,0,131,6,2373,2153,2079,676,1403,74,220,220,108,112,294,74,17,57,220,6,214,220,32,101,51,0,31,5,2138,1801,337,56,133,19,17,0,89,37,98,0,2373,21,32,39,0,15,155,28,0,162,0,0,171,71,0,7,31,0,73,17,57,0,128,5,0,8,14,86,968,968,928,ACS_Social_DC_CensusTract_106,,{4E1855D7-659F-4154-AE58-33E18048E7C8},003302,0,0
103,84.02,274180,0,11001008402,"Census Tract 84.02; District of Columbia; District of Columbia",1450,329,138,114,6,209,0,181,11,798,19,652,114,163,217,1.67,2.69,2417,1450,319,118,288,19,223,833,449,369,0,0,15,1421,880,355,0,35,151,24,6,8,25,0,23,27,4,0,0,0,0,0,0,0,0,275,42,13,112,40,68,2127,34,32,204,163,0,766,928,2061,1694,2214,95,2493,279,279,0,1948,155,266,124,2470,1799,671,640,346,294,0,294,31,2496,2356,2332,645,1687,24,140,140,18,122,164,24,0,24,140,36,104,140,32,0,71,0,27,10,2410,2221,189,13,78,0,78,13,11,0,22,0,2496,126,50,0,0,0,314,46,0,218,0,0,268,121,0,0,107,10,36,112,10,0,139,28,18,15,46,18,1450,1311,1310,ACS_Social_DC_CensusTract_107,,{BC317A74-6EBE-499F-ACA0-C1B065E498C0},008402,0,0
104,96.02,1306709,67073,11001009602,"Census Tract 96.02; District of Columbia; District of Columbia",2228,332,130,123,101,347,0,262,58,1426,430,725,194,775,383,2.31,3.22,5144,2228,438,144,1842,410,82,1350,684,491,15,17,143,2200,1450,304,6,111,329,173,60,44,110,0,233,0,161,71,0,41,0,30,71,71,0,1338,216,147,648,178,149,3148,141,379,1241,400,157,332,498,2628,830,3451,111,5144,957,1693,67,3076,740,375,150,4981,4619,362,333,97,236,0,236,29,5144,4555,4534,3465,1069,21,589,589,382,207,610,21,21,0,589,410,179,589,21,5,540,0,23,0,4571,3905,666,42,152,23,294,14,12,5,208,0,5144,336,0,0,36,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,2228,2072,1833,ACS_Social_DC_CensusTract_108,,{5177E81A-ECD2-4423-8786-52FD14C8BEEC},009602,0,0
105,8.02,1688582,669985,11001000802,"Census Tract 8.02; District of Columbia; District of Columbia",1471,673,337,122,0,337,15,250,37,339,13,251,72,365,443,2.25,2.91,3306,1471,738,138,718,82,159,1401,441,817,0,9,134,1365,406,661,0,125,173,49,0,0,67,0,101,33,0,0,0,0,0,0,0,0,0,761,65,15,317,91,273,2572,87,11,101,180,44,760,1389,2474,2149,2702,65,3306,312,604,14,1968,153,734,145,3252,2476,776,733,454,279,0,279,43,3306,2265,2221,617,1604,44,1041,1041,504,537,1085,44,0,44,1041,402,639,1041,427,280,23,11,279,21,3126,2292,834,170,360,122,362,12,100,36,12,0,3306,183,81,0,0,30,552,29,13,341,82,21,514,131,0,52,230,0,161,51,48,18,21,233,20,90,35,16,1471,1424,1335,ACS_Social_DC_CensusTract_109,,{2338D0F1-B25B-44FC-8073-E9A1B59710E9},000802,0,0
106,13.01,2855501,26550,11001001301,"Census Tract 13.01; District of Columbia; District of Columbia",2080,623,283,182,0,329,33,279,89,946,14,776,320,345,632,1.91,3.05,3980,2080,574,220,787,165,154,1418,506,694,22,17,179,2140,1034,593,0,265,248,3,3,3,2,0,0,8,6,0,0,0,0,0,0,0,0,1015,82,4,394,92,443,2979,0,19,107,311,27,854,1661,2960,2515,3476,162,3994,272,565,0,2613,171,816,101,4041,3078,963,939,692,247,0,247,24,4041,3497,3288,746,2542,209,544,544,230,314,753,209,17,192,544,283,261,544,70,116,36,18,278,26,3956,3306,650,88,298,45,295,43,8,0,49,0,4041,35,34,38,0,85,458,74,0,650,0,0,496,208,33,12,100,0,176,0,181,16,32,29,0,8,96,200,2080,1867,1833,ACS_Social_DC_CensusTract_110,,{8FD83FB2-7C3B-425A-ABA9-3EFC8399D734},001301,0,0
107,20.01,632724,1132,11001002001,"Census Tract 20.01; District of Columbia; District of Columbia",1170,463,225,159,150,283,26,102,28,265,52,177,41,494,227,2.85,3.21,3330,1170,440,157,1195,295,73,1358,607,591,15,52,93,1142,474,424,132,23,89,145,29,79,208,0,176,259,37,0,0,0,0,0,0,0,0,1015,48,109,482,195,181,2250,639,269,273,215,18,370,466,1342,836,2386,44,3436,654,1053,189,2110,391,273,74,3320,3014,306,306,295,11,0,11,0,3440,1912,1873,1206,667,39,1528,1528,329,1199,1567,39,0,39,1528,520,1008,1528,13,133,391,1,990,0,3102,1126,1976,1323,1294,1044,103,9,22,9,557,261,3440,18,12,0,6,6,40,9,0,75,0,0,30,17,0,22,0,0,37,0,12,0,693,2,0,0,0,5,1170,1123,996,ACS_Social_DC_CensusTract_111,,{4D74710D-78C2-4F77-8EA7-7003EC28C2A0},002001,0,0
108,77.08,745809,129100,11001007708,"Census Tract 77.08; District of Columbia; District of Columbia",1221,87,21,170,90,394,62,240,16,570,65,267,48,276,320,2.18,3.13,2662,1221,91,166,804,159,221,1139,914,146,34,0,45,1127,858,59,3,0,207,21,0,0,36,0,77,0,5,3,0,3,0,0,3,3,3,670,0,13,189,291,177,1886,9,281,346,797,123,125,205,1596,330,2171,31,2656,679,485,91,1678,362,493,226,2654,2426,228,228,228,0,0,0,0,2680,2618,2585,1597,988,33,62,62,62,0,95,33,33,0,62,0,62,62,0,0,27,0,35,0,2535,2421,114,33,52,33,35,0,0,0,27,0,2680,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,56,1221,978,908,ACS_Social_DC_CensusTract_112,,{BB7DDCC3-B788-4DE1-A467-A33911C20FAB},007708,0,0
109,14.02,895209,0,11001001402,"Census Tract 14.02; District of Columbia; District of Columbia",1573,662,380,61,3,306,47,247,120,544,57,408,287,510,735,2.18,3.1,3424,1573,644,61,953,107,86,1224,335,709,11,36,133,1445,320,613,16,285,211,34,0,0,54,0,92,53,83,0,0,0,0,0,0,0,0,820,116,186,311,102,105,2489,10,76,98,123,56,683,1443,2403,2126,2569,141,3409,343,888,0,1581,17,940,326,3449,2855,594,540,333,207,0,207,54,3472,2848,2816,904,1912,32,624,624,415,209,656,32,0,32,624,157,467,624,155,108,13,26,272,50,3173,2474,699,127,486,107,179,11,21,9,13,0,3472,111,31,22,8,44,456,39,0,460,14,32,572,384,15,43,147,15,137,41,108,0,51,49,0,34,12,10,1573,1418,1345,ACS_Social_DC_CensusTract_113,,{2A53E343-F114-4EED-A276-E844B01EFAB9},001402,0,0
110,47.02,326418,0,11001004702,"Census Tract 47.02; District of Columbia; District of Columbia",2231,281,50,441,0,536,0,494,33,973,0,861,58,50,109,1.42,2.22,3171,2231,283,431,117,10,99,1497,1001,284,17,100,95,1911,1333,322,16,46,194,29,0,0,18,0,24,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,209,3193,20,153,205,165,34,952,1664,3020,2616,3408,27,3267,218,57,0,3083,199,127,19,3442,2342,1100,1024,639,385,0,385,76,3465,2940,2806,333,2473,134,525,525,201,324,659,134,80,54,525,253,272,525,82,166,94,4,151,28,3408,2731,677,62,253,0,200,0,124,4,100,58,3465,68,22,9,0,9,228,67,39,776,12,18,825,259,0,47,124,17,63,22,23,0,76,18,13,6,10,0,2231,2139,2075,ACS_Social_DC_CensusTract_114,,{DF97FB64-9D31-42FF-BCE3-847F720C8F3E},004702,0,0
111,76.01,1115359,141529,11001007601,"Census Tract 76.01; District of Columbia; District of Columbia",2136,318,109,103,84,341,0,263,68,1374,369,473,178,656,598,2.39,3.1,5113,2136,451,103,1612,709,102,1528,803,526,37,73,89,2558,1290,569,125,184,390,170,170,143,96,0,111,94,94,10,10,0,0,0,10,10,0,1315,202,19,550,231,313,3462,151,453,886,612,54,675,631,2858,1306,3993,231,5180,713,1233,0,3238,364,709,349,5159,4085,1074,1074,909,165,0,165,0,5226,4944,4903,2971,1932,41,282,282,215,67,323,41,0,41,282,43,239,282,0,26,53,7,196,0,4700,4400,300,89,211,89,63,0,26,0,0,0,5226,242,0,15,0,22,76,104,0,47,0,10,129,24,11,41,10,0,0,10,39,0,188,3,0,11,1,108,2136,1970,1899,ACS_Social_DC_CensusTract_115,,{13DA834A-3C2E-4635-8188-904EC5D7747E},007601,0,0
112,75.04,764081,0,11001007504,"Census Tract 75.04; District of Columbia; District of Columbia",1300,93,13,82,44,482,0,347,89,643,196,316,112,409,217,2.11,3.3,2739,1300,97,74,894,336,38,1056,737,141,23,27,128,1055,800,99,0,49,107,61,51,100,112,0,196,0,85,66,0,0,0,66,66,40,0,881,126,51,437,115,152,1800,35,226,510,449,69,333,178,1539,511,1966,129,2795,567,829,14,1726,408,240,145,2795,2482,313,313,284,29,0,29,0,2795,2740,2740,1978,762,0,55,55,55,0,55,0,0,0,55,23,32,55,0,0,37,0,18,0,2569,2439,130,92,116,92,0,0,0,0,14,0,2795,34,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,85,18,0,0,0,20,1300,1141,1017,ACS_Social_DC_CensusTract_116,,{DCFF3167-B61E-4FB2-9389-BCE0C9500840},007504,0,0
113,99.02,1294556,0,11001009902,"Census Tract 99.02; District of Columbia; District of Columbia",1235,546,121,93,0,132,0,77,9,464,31,270,114,162,307,2.46,3.09,3039,1235,642,91,895,130,46,1247,618,600,0,0,29,1367,442,611,9,87,218,21,2,6,42,31,0,58,10,0,0,0,0,0,0,0,0,547,26,0,281,49,191,2471,104,125,400,1148,146,263,285,2242,548,2610,128,3083,430,473,0,2198,119,412,311,3064,2429,635,635,388,247,0,247,0,3090,2901,2891,2093,798,10,189,189,78,111,199,10,0,10,189,72,117,189,0,0,39,0,150,0,2898,2714,184,11,134,0,0,0,9,9,41,2,3090,172,7,0,0,0,63,0,0,11,0,0,27,0,0,0,0,0,0,0,0,0,50,8,16,0,0,201,1235,1197,1191,ACS_Social_DC_CensusTract_117,,{33D8D13A-81CA-4170-B25F-AE57652AD86D},009902,0,0
114,26,2106150,60195,11001002600,"Census Tract 26; District of Columbia; District of Columbia",900,513,205,41,27,133,0,81,26,213,3,128,84,267,401,2.92,3.41,2625,900,523,35,833,216,118,1046,369,565,0,20,92,1076,408,480,23,73,92,0,0,0,0,0,0,0,40,6,0,0,0,6,6,6,0,555,117,15,228,98,97,1959,49,27,138,188,15,625,917,1883,1542,2033,123,2630,343,597,0,1467,182,566,161,2630,2123,507,439,328,111,0,111,68,2630,2157,2121,896,1225,36,473,473,222,251,509,36,10,26,473,191,282,473,65,24,75,0,293,16,2381,1826,555,276,284,231,203,40,17,0,51,5,2630,37,35,0,0,9,140,52,0,152,83,0,111,75,25,19,35,0,2,74,25,8,175,31,13,6,9,163,900,877,833,ACS_Social_DC_CensusTract_118,,{6C727591-0E2F-4EC0-9353-51D280AC10F3},002600,0,0
