OBJECTID,NAME20,ALAND20,AWATER20,GEOID,NAME,DP02_0001E,DP02_0002E,DP02_0003E,DP02_0004E,DP02_0005E,DP02_0006E,DP02_0007E,DP02_0008E,DP02_0009E,DP02_0010E,DP02_0011E,DP02_0012E,DP02_0013E,DP02_0014E,DP02_0015E,DP02_0016E,DP02_0017E,DP02_0018E,DP02_0019E,DP02_0020E,DP02_0021E,DP02_0022E,DP02_0023E,DP02_0024E,DP02_0025E,DP02_0026E,DP02_0027E,DP02_0028E,DP02_0029E,DP02_0030E,DP02_0031E,DP02_0032E,DP02_0033E,DP02_0034E,DP02_0035E,DP02_0036E,DP02_0037E,DP02_0038E,DP02_0039E,DP02_0040E,DP02_0041E,DP02_0042E,DP02_0043E,DP02_0044E,DP02_0045E,DP02_0046E,DP02_0047E,DP02_0048E,DP02_0049E,DP02_0050E,DP02_0051E,DP02_0052E,DP02_0053E,DP02_0054E,DP02_0055E,DP02_0056E,DP02_0057E,DP02_0058E,DP02_0059E,DP02_0060E,DP02_0061E,DP02_0062E,DP02_0063E,DP02_0064E,DP02_0065E,DP02_0066E,DP02_0067E,DP02_0068E,DP02_0069E,DP02_0070E,DP02_0071E,DP02_0072E,DP02_0073E,DP02_0074E,DP02_0075E,DP02_0076E,DP02_0077E,DP02_0078E,DP02_0079E,DP02_0080E,DP02_0081E,DP02_0082E,DP02_0083E,DP02_0084E,DP02_0085E,DP02_0086E,DP02_0087E,DP02_0088E,DP02_0089E,DP02_0090E,DP02_0091E,DP02_0092E,DP02_0093E,DP02_0094E,DP02_0095E,DP02_0096E,DP02_0097E,DP02_0098E,DP02_0099E,DP02_0100E,DP02_0101E,DP02_0102E,DP02_0103E,DP02_0104E,DP02_0105E,DP02_0106E,DP02_0107E,DP02_0108E,DP02_0109E,DP02_0110E,DP02_0111E,DP02_0112E,DP02_0113E,DP02_0114E,DP02_0115E,DP02_0116E,DP02_0117E,DP02_0118E,DP02_0119E,DP02_0120E,DP02_0121E,DP02_0122E,DP02_0123E,DP02_0124E,DP02_0125E,DP02_0126E,DP02_0127E,DP02_0128E,DP02_0129E,DP02_0130E,DP02_0131E,DP02_0132E,DP02_0133E,DP02_0134E,DP02_0135E,DP02_0136E,DP02_0137E,DP02_0138E,DP02_0139E,DP02_0140E,DP02_0141E,DP02_0142E,DP02_0143E,DP02_0144E,DP02_0145E,DP02_0146E,DP02_0147E,DP02_0148E,DP02_0149E,DP02_0150E,DP02_0151E,DP02_0152E,DP02_0153E,DP02_0154E,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,TRACTCE,SHAPEAREA,SHAPELEN
76,58.02,682488,0,11001005802,"Census Tract 58.02; District of Columbia; District of Columbia",1474,197,23,170,0,660,0,568,62,447,0,425,66,23,161,1.35,2.1,1990,1474,173,203,45,68,27,1207,615,363,12,0,217,793,354,209,15,27,188,11,0,0,22,0,46,0,0,0,0,0,0,0,0,0,0,167,0,0,14,0,153,1857,0,0,23,172,54,482,1126,1857,1608,1926,68,1953,214,27,0,1749,186,177,28,2014,1527,487,394,129,265,0,265,93,2027,1597,1424,123,1301,173,430,430,150,280,603,173,80,93,430,182,248,430,35,258,0,0,74,63,2014,1457,557,72,200,0,135,0,222,72,0,0,2027,70,10,0,0,7,247,73,43,218,0,12,274,205,0,10,47,0,54,11,32,0,0,11,0,11,20,0,1474,1474,1355,ACS_Social_DC_CensusTract_78,,{84CDAA24-72CB-4EDA-BF06-0E026EB95147},005802,0,0
77,47.03,124124,0,11001004703,"Census Tract 47.03; District of Columbia; District of Columbia",1944,402,122,286,39,531,0,491,11,725,25,565,39,207,100,1.58,2.24,3069,1944,424,271,146,33,251,1401,864,425,63,0,49,1490,969,416,21,39,45,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,635,39,0,136,3,457,2453,163,51,448,11,47,626,1107,2239,1733,2879,92,3057,200,178,0,2747,177,132,23,3069,2093,976,959,374,585,0,585,17,3069,2082,2045,513,1532,37,987,987,301,686,1024,37,0,37,987,449,538,987,105,667,27,0,157,31,3069,2002,1067,470,255,61,286,36,524,373,2,0,3069,28,38,0,0,0,303,6,0,296,28,0,194,129,26,8,105,0,76,0,27,3,27,64,0,66,35,0,1944,1904,1866,ACS_Social_DC_CensusTract_79,,{03D34EA1-745A-4423-AC58-58F2F4508B83},004703,0,0
78,47.04,198509,0,11001004704,"Census Tract 47.04; District of Columbia; District of Columbia",745,12,0,12,0,429,4,416,42,292,95,155,120,99,162,1.64,3.85,1220,745,11,12,339,0,113,559,544,15,0,0,0,521,353,67,0,0,101,53,53,191,183,0,0,558,0,0,0,0,0,0,0,0,0,383,0,21,53,56,253,782,24,66,404,44,181,24,39,692,63,1013,12,1215,179,202,0,848,117,165,62,1226,1079,147,147,124,23,0,23,0,1226,1197,1196,841,355,1,29,29,1,28,30,1,0,1,29,0,29,29,28,1,0,0,0,0,1154,1099,55,43,53,42,2,1,0,0,0,0,1226,52,0,0,0,0,12,0,0,75,0,0,9,11,0,0,0,0,0,0,0,0,1,11,0,0,0,0,745,691,625,ACS_Social_DC_CensusTract_80,,{E8DBD814-995F-43C6-911C-D03C6158BB64},004704,0,0
79,106.03,464270,0,11001010603,"Census Tract 106.03; District of Columbia; District of Columbia",1816,183,0,175,0,435,0,354,48,1023,8,571,10,8,124,1.49,2.05,2709,1816,181,191,50,8,463,922,644,186,0,10,82,1785,1558,193,10,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,268,2066,0,35,61,74,119,1080,697,2031,1777,2707,161,2709,197,2,0,2584,169,123,28,2709,1760,949,894,442,452,0,452,55,2709,2467,2335,56,2279,132,242,242,125,117,374,132,63,69,242,132,110,242,9,89,25,0,110,9,2707,2501,206,0,128,0,8,0,40,0,30,0,2709,69,25,0,0,24,267,34,19,163,53,12,650,334,17,23,53,8,47,17,134,31,0,13,0,12,16,50,1816,1816,1733,ACS_Social_DC_CensusTract_81,,{86A50582-1DB8-4ACD-90FC-3821CC4308AA},010603,0,0
80,106.01,224811,0,11001010601,"Census Tract 106.01; District of Columbia; District of Columbia",1179,123,21,143,0,310,0,198,0,603,0,327,0,21,0,1.57,2.2,1848,1179,121,117,178,33,220,676,535,140,0,1,0,1138,881,132,35,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,22,0,0,0,180,1618,5,39,86,303,10,475,700,1574,1175,1804,18,1848,113,44,0,1802,111,2,2,1858,1174,684,655,309,346,0,346,29,1858,1720,1585,358,1227,135,138,138,42,96,273,135,0,135,138,111,27,138,58,44,0,0,36,0,1814,1632,182,70,73,36,80,21,29,13,0,0,1858,0,0,94,0,70,214,51,0,279,0,21,418,141,0,45,144,0,55,0,26,15,25,63,0,0,0,65,1179,1154,1100,ACS_Social_DC_CensusTract_82,,{DDD21231-EB81-4B8C-89CE-F0625C315DB4},010601,0,0
81,110.02,498122,367023,11001011002,"Census Tract 110.02; District of Columbia; District of Columbia",1129,179,0,88,24,209,0,179,43,653,0,640,313,24,423,1.35,2.16,1521,1129,180,99,65,18,30,615,283,246,14,0,72,910,510,146,40,84,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,25,0,0,0,67,1470,0,21,109,167,23,228,922,1449,1150,1492,65,1521,208,39,0,1035,122,447,86,1564,1429,135,132,89,43,0,43,3,1564,1251,1209,237,972,42,313,313,243,70,355,42,0,42,313,48,265,313,92,128,29,0,64,0,1525,1272,253,20,16,0,127,9,88,11,22,0,1564,19,12,0,40,16,187,32,18,378,13,0,200,95,0,0,83,31,50,8,42,0,65,11,0,23,0,30,1129,1114,912,ACS_Social_DC_CensusTract_83,,{A182EAC0-B948-4418-9B22-791CAC1B0A03},011002,0,0
82,32,447929,0,11001003200,"Census Tract 32; District of Columbia; District of Columbia",1620,507,234,117,0,353,17,185,12,643,118,406,102,421,318,2.53,3.45,4102,1620,502,117,1270,321,272,1487,821,584,0,0,82,1698,867,559,13,65,194,116,69,94,101,0,107,105,48,0,0,0,0,0,0,0,0,888,178,76,154,149,331,2843,139,218,431,299,73,673,1010,2486,1683,3107,113,4126,420,1022,22,2721,265,383,133,4083,3739,344,344,190,154,0,154,0,4136,3470,3439,1841,1598,31,666,666,383,283,697,31,0,31,666,42,624,666,97,54,66,10,391,48,3820,2935,885,311,608,241,148,17,14,0,115,53,4136,150,69,152,11,13,289,36,0,241,58,31,307,133,0,7,202,0,18,9,102,43,183,59,9,0,58,88,1620,1558,1483,ACS_Social_DC_CensusTract_36,,{B2560A83-4808-4017-A693-B56A5602789E},003200,0,0
83,34,911458,159593,11001003400,"Census Tract 34; District of Columbia; District of Columbia",1143,201,89,161,0,403,0,330,76,378,41,164,83,138,183,2.14,3.04,2447,1143,213,152,260,77,602,1472,1117,228,12,5,110,2148,1853,224,0,15,56,20,0,0,10,0,11,34,8,0,0,0,0,0,0,0,0,1704,12,0,107,89,1496,1999,56,161,162,264,15,488,853,1782,1341,3508,46,3800,415,292,32,3319,244,189,139,3774,2145,1629,1513,390,1123,0,1123,116,3800,3300,3245,507,2738,55,500,500,265,235,555,55,13,42,500,232,268,500,64,189,71,4,117,55,3727,3129,598,71,148,45,139,10,260,16,51,0,3800,19,50,17,3,21,131,55,9,133,10,10,165,143,16,0,33,0,11,32,3,10,106,0,71,0,4,86,1143,1063,974,ACS_Social_DC_CensusTract_37,,{4D49E95E-D9C7-43C6-A75D-D7D6752095DE},003400,0,0
84,95.10,841510,0,11001009510,"Census Tract 95.10; District of Columbia; District of Columbia",1913,421,317,127,75,538,38,317,2,827,180,352,117,818,405,2.56,3.54,4895,1913,388,118,1622,641,213,1467,807,452,74,37,97,1995,1234,426,9,54,272,50,0,0,40,0,42,55,207,13,13,0,0,0,13,13,13,1539,103,53,720,237,426,2934,145,301,832,860,123,343,330,2488,673,3343,41,4915,603,1572,73,2838,393,505,137,4852,3991,861,860,363,497,0,497,1,4918,3705,3666,2345,1321,39,1213,1213,270,943,1252,39,16,23,1213,393,820,1213,33,15,244,0,918,3,4317,2928,1389,899,1110,820,70,21,15,1,194,57,4918,19,0,6,0,10,2,12,0,43,0,0,46,109,6,14,0,12,12,0,30,0,411,0,0,0,0,227,1913,1767,1600,ACS_Social_DC_CensusTract_87,,{7CBEDFF9-DBB1-4740-88ED-915692A3A2A6},009510,0,0
85,95.11,719468,0,11001009511,"Census Tract 95.11; District of Columbia; District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,544,5,0,0,0,662,621,15,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,0,0,0,0,1059,191,0,7,39,21,0,38,86,184,124,1201,3,1168,69,10,0,1121,69,37,0,1211,601,610,557,106,451,0,451,53,1211,1073,1043,63,980,30,138,138,29,109,168,30,13,17,138,105,33,138,32,62,23,0,9,12,1211,895,316,50,171,11,46,12,76,27,23,0,1211,6,8,2,3,2,53,34,7,123,2,15,236,218,0,4,51,5,17,6,20,5,20,15,3,14,0,9,0,0,0,ACS_Social_DC_CensusTract_88,,{E79D7FE4-4989-4369-92BE-0ADC17D02186},009511,0,0
