OBJECTID,TRACT,ID2,GEO_ID,NAME,ID,TOTALPOP,P_POC,P_CHILD,P_ELDERLY,P_POVERTY,P_DISABILITY,P_LIMENG,ASTHMA,CHD,OBESITY,HSI,P_TREECOVER,P_NOTREE,P_IMPSURF,AIRTEMP_MEAN,HEI,HSEI,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
188,007603,11001007603,1400000US11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",126,4099,97.6,13,18.9,37,11,0,12.9,6.8,35.9,0.49839783,0.45156035,0.54843965,34.21927032,33.97863084,0.40143486,0.44991634,HSEIPly_126,,{3B5369B2-CC06-45E4-8C83-81506DE6DAE4},,,,,0,0
189,007407,11001007407,1400000US11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",119,3359,97.7,6.5,7.6,54,16.6,0,13.8,5.9,38.6,0.48027974,0.40248167,0.59751833,35.46733035,34.24819742,0.4506804,0.46548007,HSEIPly_119,,{6BE55864-F3CA-4736-96EF-E52DDF2D1BAA},,,,,0,0
190,007502,11001007502,1400000US11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",122,5615,99.2,9.1,13.1,60,22.8,0,14.7,8.1,41,0.57964508,0.37788619,0.62211381,45.42071012,34.26090983,0.49240815,0.53602662,HSEIPly_122,,{778381B0-65AC-43DB-9B10-C7BAE0860E48},,,,,0,0
191,010400,11001010400,1400000US11001010400,"Census Tract 104, District of Columbia, District of Columbia",195,4995,90.9,5.3,9.6,46,13.2,1.3,13.6,7.5,41,0.47630229,0.34901716,0.65098284,29.22032053,34.47253682,0.47008991,0.4731961,HSEIPly_195,,{04D82796-1EDF-4413-8D64-86BD7EA24526},,,,,0,0
192,007406,11001007406,1400000US11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",118,4201,99.9,16.2,1.6,70,7.6,2.1,16,5.3,41.6,0.5504032,0.3844848,0.6155152,41.11603116,34.56692084,0.51285293,0.53162807,HSEIPly_118,,{A78B562E-938C-4F1F-A922-081C8BA9C30C},,,,,0,0
193,007408,11001007408,1400000US11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",120,3128,97.5,12.6,6.3,77,10.5,3.3,15.4,6.8,43.3,0.5745724,0.48631865,0.51368135,39.58758218,33.87115763,0.39788114,0.48622677,HSEIPly_120,,{FFC2A3D4-F6B4-451D-B92D-B3AEEC5DD8AB},,,,,0,0
194,007404,11001007404,1400000US11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",117,4134,96.3,8.7,7.3,31,12.5,0,13.2,3.5,34.3,0.40417954,0.32223768,0.67776233,33.92132603,34.23628179,0.46455619,0.43436786,HSEIPly_117,,{ED998EA5-AA60-4514-A2AA-3AF1C1297623},,,,,0,0
195,007403,11001007403,1400000US11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",116,2709,100,1.4,3.5,60,18.1,2.1,14.4,5,38.6,0.45971553,0.37018216,0.62981784,35.5813492,34.07939551,0.43905281,0.44938417,HSEIPly_116,,{EE4AFD84-A68C-4400-A9EF-F9F70C6360F8},,,,,0,0
196,007409,11001007409,1400000US11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",121,4377,99.8,14.7,7.5,69,14.4,0.7,15.1,5.6,39.2,0.55678344,0.36315138,0.63684862,39.6418662,34.04785416,0.45088976,0.5038366,HSEIPly_121,,{4EC5B53C-A3F5-4A61-8274-DDF177F07CE1},,,,,0,0
197,007304,11001007304,1400000US11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",114,4323,95.7,8.2,9.8,52,16,1.6,14.9,7.6,40,0.52872451,0.49749421,0.50250579,28.43210446,34.0140319,0.3742084,0.45146645,HSEIPly_114,,{D8DB0707-D2C5-4C1F-BE43-52083BAADBF3},,,,,0,0
198,009804,11001009804,1400000US11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",180,2661,98.7,9.4,7.8,51,12.1,0.6,14.1,6.3,39.1,0.49143803,0.29476821,0.70523179,42.38534076,34.65554872,0.55083345,0.52113574,HSEIPly_180,,{F46F5135-E569-4DEA-86B6-88FDF8C78AF4},,,,,0,0
199,009803,11001009803,1400000US11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",179,3153,98.5,3.8,10.6,47,23.4,0,13.8,6.2,39.6,0.49470935,0.22904304,0.77095696,45.14459793,34.40277066,0.54668584,0.52069759,HSEIPly_179,,{8C091F7D-6B7B-4421-B63E-4CEFAD571679},,,,,0,0
200,009807,11001009807,1400000US11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",181,3514,96.9,7.9,20,31,27.9,0.8,12.6,6.3,37.4,0.51927986,0.39545627,0.60454373,27.70173362,33.79140662,0.37111332,0.44519659,HSEIPly_181,,{4E91F432-C84A-4D94-ACF1-40C8443824DD},,,,,0,0
201,009700,11001009700,1400000US11001009700,"Census Tract 97, District of Columbia, District of Columbia",176,3279,98,6.3,15.8,52,17.2,0,14.5,7.2,40.7,0.53104253,0.26204987,0.73795013,42.95565897,34.47089421,0.53896092,0.53500173,HSEIPly_176,,{BB49C6A8-682A-4D49-AFDC-4CD100E0E808},,,,,0,0
202,009801,11001009801,1400000US11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",177,2056,98.7,6.9,25.6,73,35,0.7,14.7,7.7,40.2,0.65094658,0.27886173,0.72113827,31.61916699,34.44937562,0.49346009,0.57220333,HSEIPly_177,,{13F8D3B4-1B3D-4435-8AE1-CCE499FCC441},,,,,0,0
203,009802,11001009802,1400000US11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",178,2080,99.2,10.8,26,51,26.5,1,15.7,7.1,43,0.64146299,0.13265271,0.86734729,40.86550414,34.89224172,0.61568143,0.62857221,HSEIPly_178,,{D90A26FD-2F3C-42D0-99C5-CCDBBE2CF3EA},,,,,0,0
204,009810,11001009810,1400000US11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",182,2750,99.9,5.3,6.7,54,14.1,4.4,13.9,5.1,38.5,0.47257402,0.33570874,0.66429126,36.45771871,34.31754513,0.47951057,0.47604229,HSEIPly_182,,{3B5D18A4-465F-45E6-A260-DA67CB0C84CF},,,,,0,0
205,009811,11001009811,1400000US11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",183,4437,99.1,7.3,8.1,51,13.9,0,15.2,6.1,41.1,0.50517876,0.22783991,0.77216009,46.2562216,34.40034013,0.55048737,0.52783306,HSEIPly_183,,{098FA9F0-2277-467B-8E31-12A55B7CD7CC},,,,,0,0
206,010900,11001010900,1400000US11001010900,"Census Tract 109, District of Columbia, District of Columbia",202,3400,98.4,14.6,7.9,53,17.9,0,14.3,4.6,36.2,0.51510818,0.13027618,0.86972382,19.21791485,33.86672699,0.41926769,0.46718794,HSEIPly_202,,{8CCFED52-EF46-4041-BFCC-E85705143A25},,,,,0,0
